year_week_num,category,store, sales,volume
202211,WINES,Store 8," € 10,450.09 ",1196
202215,BEER&CIDER,Store 1," € 29,501.85 ",2964
201917,WINES,Store 11," € 2,826.46 ",373
202229,SPIRITS,Store 13," € 1,951.39 ",139
201733,WINES,Store 13," € 2,750.19 ",355
201740,BEER&CIDER,Store 10," € 12,452.09 ",3666
201817,BEER&CIDER,Store 1," € 33,183.11 ",9265
202229,SPIRITS,Store 9," € 8,461.53 ",572
201822,BEER&CIDER,Store 13," € 3,361.63 ",737
202047,BEER&CIDER,Store 10," € 9,297.34 ",1907
201738,BEER&CIDER,Store 11," € 2,630.33 ",598
202012,BEER&CIDER,Store 3," € 34,882.64 ",7497
201906,WINES,Store 1," € 27,888.64 ",3380
202035,BEER&CIDER,Store 12," € 5,092.01 ",1179
202037,SPIRITS,Store 1," € 42,343.08 ",2765
201808,WINES,Store 11," € 2,549.21 ",329
201917,BEER&CIDER,Store 10," € 10,070.58 ",3640
201845,SPIRITS,Store 3," € 13,138.84 ",849
201746,WINES,Store 8," € 6,973.03 ",919
202030,BEER&CIDER,Store 4," € 21,156.20 ",4853
201745,BEER&CIDER,Store 3," € 12,507.56 ",2765
201812,BEER&CIDER,Store 13," € 3,072.25 ",641
201723,BEER&CIDER,Store 4," € 24,788.05 ",10097
202134,WINES,Store 12," € 4,143.45 ",494
202149,BEER&CIDER,Store 13," € 2,963.91 ",451
201914,SPIRITS,Store 3," € 18,714.45 ",1326
202025,SPIRITS,Store 12," € 2,225.60 ",139
202145,SPIRITS,Store 11," € 1,292.29 ",95
201728,SPIRITS,Store 12," € 1,187.07 ",95
202011,SPIRITS,Store 9," € 12,723.36 ",823
201848,WINES,Store 10," € 9,843.17 ",1196
201718,BEER&CIDER,Store 11," € 2,645.67 ",615
202013,BEER&CIDER,Store 8," € 31,465.29 ",14014
201715,BEER&CIDER,Store 3," € 23,462.05 ",6405
201917,SPIRITS,Store 11," € 1,990.21 ",173
201729,SPIRITS,Store 12," € 2,948.83 ",260
202051,SPIRITS,Store 13," € 1,952.43 ",139
201813,SPIRITS,Store 13," € 1,287.17 ",104
202133,SPIRITS,Store 8," € 12,282.83 ",797
201725,SPIRITS,Store 3," € 15,152.28 ",884
202137,SPIRITS,Store 10," € 16,702.14 ",1005
201837,WINES,Store 2," € 27,356.85 ",3640
202033,WINES,Store 8," € 13,978.03 ",1820
201911,BEER&CIDER,Store 9," € 8,312.81 ",1803
201832,BEER&CIDER,Store 4," € 14,716.35 ",2565
201926,WINES,Store 2," € 24,704.07 ",3025
202132,BEER&CIDER,Store 3," € 24,484.72 ",2886
202124,BEER&CIDER,Store 1," € 26,675.74 ",3198
202238,WINES,Store 4," € 37,345.01 ",3969
202214,WINES,Store 2," € 36,774.83 ",4169
201933,WINES,Store 3," € 20,203.13 ",2470
202140,SPIRITS,Store 4," € 53,456.17 ",2929
201806,WINES,Store 8," € 8,982.65 ",1179
202001,SPIRITS,Store 9," € 8,131.67 ",572
202129,WINES,Store 9," € 12,766.52 ",1413
201817,WINES,Store 1," € 26,166.66 ",3371
201729,WINES,Store 11," € 2,637.61 ",338
201739,SPIRITS,Store 11," € 2,016.21 ",156
201922,WINES,Store 13," € 3,020.25 ",373
202046,SPIRITS,Store 1," € 21,942.79 ",1430
202229,BEER&CIDER,Store 4," € 16,934.58 ",1976
201852,WINES,Store 4," € 20,254.26 ",2323
201819,SPIRITS,Store 10," € 9,176.87 ",607
202110,BEER&CIDER,Store 9," € 11,147.07 ",1577
202114,WINES,Store 12," € 4,712.33 ",555
201706,SPIRITS,Store 3," € 15,004.51 ",971
201802,BEER&CIDER,Store 4," € 15,929.77 ",2903
202239,SPIRITS,Store 13," € 2,247.70 ",156
201746,BEER&CIDER,Store 8," € 7,492.25 ",1612
202136,SPIRITS,Store 10," € 14,335.79 ",849
